ID;Módulo;Atividade;Otimista (h);Realista (h);Pessimista (h);Certeza :(;Certeza :|;Certeza :);PERT Esperado (h)
7.4;Checkout & Pagamento;API: Validação matemática do fechamento da compra (Itens + Frete - Cupons = Cartões);1,0;2,0;3,5;;;X;2,1
7.5;Checkout & Pagamento;Frontend: Integração do fluxo completo de Checkout (Endereços, Frete, Pagamento);2,5;5,0;8,0;;X;;5,1
8.1;Pedidos;API: Gravação transacional do pedido (snapshot de endereços, cartões e itens);2,0;3,5;6,0;;X;;3,7
8.2;Pedidos;API: Máquina de estados do pedido (Processando -> Pago -> Em Transporte -> Entregue);1,5;2,5;4,5;;;X;2,7
8.3;Pedidos;API: Endpoints de listagem e detalhes de pedidos (Cliente e Admin);1,0;2,0;3,0;;;X;2,0
8.4;Pedidos;Frontend: Integração do histórico e detalhe do pedido do cliente;1,0;2,0;3,5;;;X;2,1
8.5;Pedidos;Frontend: Integração da tela administrativa de alteração de status de pedidos;1,0;2,0;3,5;;;X;2,1
9.1;Trocas & Devoluções;API: Solicitação de troca parcial ou total pelo cliente (apenas pedidos entregues);1,5;2,5;4,5;;X;;2,7
9.2;Trocas & Devoluções;API: Fluxo admin de autorização/recusa e confirmação de recebimento de itens;1,5;3,0;5,0;;X;;3,1
9.3;Trocas & Devoluções;API: Geração automática de Cupom de Troca vinculado ao cliente após recebimento;1,0;2,0;3,5;;;X;2,1
9.4;Trocas & Devoluções;Frontend: Integração das ações de troca na área do cliente e no painel admin;1,5;3,0;5,0;;X;;3,1
10.1;Relatórios;API: Query agregada de vendas por período e agrupamento por categoria/produto;2,0;4,0;7,0;X;;;4,2
10.2;Relatórios;API: Endpoint parametrizado por data inicial, data final e tipo de análise;1,0;2,0;3,5;;;X;2,1
10.3;Relatórios;Frontend: Integração dos filtros e renderização dinâmica dos gráficos de linha/barra;1,5;3,0;5,5;;X;;3,2
11.1;Chatbot;API: Lógica de matching e busca inteligente de peças por modelo/ano do veículo;1,5;3,0;6,0;X;;;3,3
11.2;Chatbot;Frontend: Integração do widget do Chatbot com a API e atalhos de compra rápida;1,0;2,0;4,0;;X;;2,2
12.1;Testes & Entrega;Testes unitários e de integração das regras críticas (Checkout, Trocas e Estoque);2,5;5,0;8,0;;X;;5,1
12.2;Testes & Entrega;Teste manual do fluxo ponta a ponta (cadastro até entrega e troca);1,5;3,0;5,0;;;X;3,1
12.3;Testes & Entrega;Documentação técnica, roteiro de testes e preparação da apresentação;1,5;3,0;5,0;;;X;3,1
TOTAL;TOTAIS GERAIS;Soma total de horas estimadas e contagem de incertezas;60,5;118,5;199,5;4;17;18;122,2
